"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW8,SW3,SW4,SW2,SW1,SW5,SW7,SW9,SW6";"SW_Cherry_MX_1.00u_PCB";9;"SW_Push";;;
2;"U1";"XIAO-RP2040-DIP";1;"Seeed Studio XIAO SAMD21";;;
